tournament_id,match_id,game_id
2283,542205,233427
2283,542195,233398
2283,542195,233397
2283,542207,233431
2283,542196,233401
2283,542196,233402
2283,542205,233428
2283,542196,233400
2283,542207,233430
2283,542212,233445
2283,542212,233446
2283,542200,233412
2283,542211,233443
2283,542201,233415
2283,542200,233413
2283,542211,233442
2283,542201,233416
2283,542197,233403
2283,542197,233404
2283,542208,233433
2283,542197,233405
2283,542213,233449
2283,542213,233448
2283,542208,233434
2283,542208,233435
2283,542202,233419
2283,542202,233418
2283,542202,233420
2283,542209,233437
2283,542209,233436
2283,542198,233406
2283,542209,233438
2283,542198,233407
2283,542203,233421
2283,542203,233423
2283,542203,233422
2283,542198,233408
2283,542214,233452
2283,542210,233439
2283,542199,233409
2283,542199,233410
2283,542210,233440
2283,542215,233454
2283,542215,233455
2283,542204,233424
2283,542204,233425
2283,542214,233451
2283,542265,233460
2283,542265,233461
2283,542265,233462
2283,542267,233467
2283,542267,233466
2283,542264,233457
2283,542264,233458
2283,542273,233483
2283,542264,233459
2283,542274,233487
2283,542266,233463
2283,542273,233484
2283,542266,233464
2283,542273,233485
2283,542274,233486
2283,542274,233488
2283,542269,233472
2283,542268,233469
2283,542269,233473
2283,542268,233471
2283,542268,233470
2283,542269,233474
2283,542277,233492
2283,542277,233493
2283,542277,233494
2283,542276,233489
2283,542276,233490
2283,542276,233491
2283,542278,233496
2283,542278,233495
2283,542270,233475
2283,542279,233498
2283,542270,233476
2283,542279,233500
2590,538566,232748
2283,542279,233499
2590,538566,232749
2590,538565,232745
2283,542279,233501
2590,538565,232747
2590,538567,232751
2590,538565,232746
2590,538567,232752
2590,538568,232754
2590,538568,232755
2590,538568,232756
2590,538569,232757
2283,542272,233478
2283,542272,233479
2283,542272,233480
2590,538569,232758
2283,542272,233481
2283,542272,233482
2590,538570,232761
2590,538570,232760
2590,538572,232767
2590,538571,232765
2590,538569,232759
2590,538570,232762
2590,538572,232766
2590,538571,232763
2590,538571,232764
2590,538573,232769
2590,538573,232771
2590,538573,232770
2590,538572,232768
2590,538574,232773
2590,538574,232772
2590,538576,232780
2590,538574,232774
2590,538576,232781
2590,538575,232776
2590,538576,232782
2590,538575,232775
2501,509801,224713
2501,509801,224714
2590,538575,232777
2501,509802,224716
2501,509802,224717
2501,509802,224718
2501,509803,224720
2501,509803,224719
2501,509803,224721
2501,509804,224724
2501,509804,224722
2501,509804,224723
2501,509805,224725
2501,509805,224726
2501,509806,224728
2501,509806,224730
2501,509807,224731
2501,509807,224732
2501,509806,224729
2501,509808,224734
2501,509809,224737
2501,509809,224738
2501,509808,224735
2501,509810,224740
2501,509810,224741
2501,509811,224743
2501,509811,224744
2501,509812,224746
2501,509812,224747
2501,509815,224755
2501,509816,224758
2501,509813,224751
2501,509813,224749
2501,509813,224750
2501,509815,224756
2501,509817,224761
2501,509816,224759
2501,509814,224752
2501,509814,224753
2501,509814,224754
2501,509817,224762
2501,509818,224764
2501,509817,224763
2501,509818,224765
2501,509818,224766
2501,509819,224768
2501,509820,224770
2501,509819,224767
2501,509821,224773
2501,509821,224774
2501,509820,224771
2501,509822,224778
2501,509823,224780
2501,509822,224776
2501,509822,224777
2501,509823,224779
2501,509824,224782
2501,509824,224783
2501,509824,224784
2501,509825,224786
2501,509825,224785
2501,509825,224787
2501,509826,224788
2501,509827,224791
2501,509826,224790
2501,509827,224792
2501,509826,224789
2501,509829,224795
2501,509829,224794
2501,509829,224796
2501,509830,224797
2501,509831,224801
2501,509830,224798
2501,509831,224800
2501,530902,231348
2501,530902,231349
2501,530903,231351
2501,530902,231350
2501,530903,231352
2501,530904,231355
2501,530906,231361
2501,530906,231362
2501,530905,231358
2501,530906,231360
2501,530905,231357
2501,530904,231356
2501,530907,231365
2501,530904,231354
2501,530907,231363
2501,530907,231364
2501,530908,231366
2501,530908,231367
2501,530909,231369
2501,530909,231370
2501,530910,231373
2501,530910,231372
2501,530911,233203
2501,530911,231376
2501,530911,231377
2501,530912,231378
2501,530912,231379
2498,511543,226424
2501,530913,231383
2501,530912,231380
2498,511543,226425
2501,530912,231381
2501,530913,231385
2501,530913,231384
2498,511543,226426
2498,511544,226428
2498,511544,226427
2498,511545,226430
2498,511546,226434
2498,511546,226435
2498,511546,226433
2498,511545,226431
2498,511547,226436
2498,511547,226437
2498,511547,226438
2498,511545,226432
2498,511548,226439
2498,511548,226441
2498,511548,226440
2498,511549,226442
2498,511549,226444
