tournament_id,team_id
2283,1034
2283,2593
2283,8185
2283,624
2283,7386
2283,1001
2283,11058
2283,14419
2283,13581
2283,878
2283,474
2283,14
2283,2
2283,12010
2283,1120
2283,11981
2590,13576
2590,14137
2590,13790
2590,11328
2590,731
2590,12064
2590,12685
2590,1119
2590,11981
2590,1120
2590,13581
2590,12010
2501,11058
2501,1034
2501,2
2501,188
2501,2359
2501,120
2501,2355
2501,5248
2501,15072
2501,7386
2501,2406
2501,6961
2498,474
2498,14419
2498,397
2498,4915
2498,2593
2498,1001
2498,8877
2498,2059
2498,1184
2498,7035
2498,12694
2498,11479
2500,624
2500,878
2500,8304
2500,14
2500,11060
2500,8185
2500,278
2500,17
2500,6199
2500,5448
2500,918
2500,466
2499,12010
2499,11981
2499,1120
2499,13581
2499,731
2499,1119
2499,12685
2499,11328
2499,13576
2499,12064
2499,14137
2499,13790
2282,624
2282,2593
2282,13790
2282,11058
2282,17
2282,2
2282,13581
2282,878
2282,474
2282,12010
2282,1001
2282,7386
2380,2593
2380,1001
2380,474
2380,397
2380,4915
2380,1184
2380,8877
2380,2059
2380,14419
2380,7035
2380,11479
2380,12694
2379,878
2379,17
2379,624
2379,8185
2379,8304
2379,466
2379,11060
2379,14
2379,918
2379,5448
2379,278
2379,6199
2450,1120
2450,14137
2450,12685
2450,13790
2450,11328
2450,12064
2450,11981
2450,731
2450,1119
2450,13581
2450,12010
2450,13576
2359,13581
2359,12010
2359,13790
2359,1120
2359,11981
2359,12685
2359,14137
2359,12064
2359,11328
2359,13576
2359,731
2359,1119
2347,11058
2347,2
2347,7386
2347,5248
2347,120
2347,2355
2347,1034
2347,188
2347,15072
2347,2359
2347,6961
2347,2406
2281,14
2281,11058
2281,1120
2281,2059
2281,474
2281,8185
2281,2
2281,12685
2339,12064
2339,13790
2339,12010
2339,13576
2339,731
2339,11328
2339,11981
2339,13581
2339,1119
2339,12685
2339,14137
2339,1120
2276,2059
2276,474
2276,1001
2276,1184
2276,2593
2276,397
2276,12694
2276,14419
2276,7035
2276,4915
2276,8877
2276,11479
2277,8185
2277,14
2277,17
2277,8304
2277,11060
2277,278
2277,878
2277,624
2277,466
2277,6199
2277,918
2277,5448
2274,11058
2274,2
2274,7386
2274,2355
2274,2359
2274,6961
2274,5248
2274,1034
2274,2406
2274,188
2274,120
2274,15072
2275,1120
2275,12685
2275,12010
2275,11981
2275,11328
2275,13581
2275,12064
2275,13576
2275,13790
2275,731
2275,14137
2275,1119
2097,1120
2097,1001
2097,2359
2097,2
2097,8185
2097,2593
2097,12685
2097,11058
2097,2355
2097,17
2097,2059
2097,624
2097,12010
2097,11328
2097,8304
2097,1184
2095,2359
2095,11058
2095,2355
2095,120
2095,188
2095,2
2095,1034
2095,6961
2095,5248
2095,2406
2095,7386
2096,1120
2096,11328
2096,12685
2096,12010
2096,1119
2096,13576
2096,12064
2096,731
2096,13790
2096,11981
2096,14137
2005,17
2005,8185
2005,624
2005,8304
2005,878
2005,6199
2005,14
2005,5448
2005,918
2005,278
2005,6387
2094,2593
2094,2059
2094,1001
2094,1184
2094,8877
2094,4915
2094,397
2094,474
2094,14419
2094,12694
2094,7035
1999,17
1999,1001
1999,11058
1999,120
1999,624
1999,1184
1999,1120
1999,2593
1999,2359
1999,11328
1999,14
1999,11981
2006,1120
2006,11328
2006,11981
2006,12685
2006,1119
2006,12064
2006,12010
2006,731
2006,13790
2006,14137
2006,13576
2004,120
2004,11058
2004,2359
2004,2355
2004,188
2004,6961
2004,2
2004,5248
2004,1034
2004,2406
2004,7386
1998,2593
1998,1001
1998,1184
1998,8877
1998,4915
1998,474
1998,397
1998,12694
1998,2059
1998,14419
1998,7035
2002,624
2002,17
2002,14
2002,8185
2002,6199
2002,8304
2002,918
2002,878
2002,6387
2002,5448
2002,278
1921,2
1921,17
1921,624
1921,6961
1921,8877
1921,1120
1921,1001
1921,11328
1923,2
1923,6961
1923,5248
1923,1034
1923,11058
1923,7386
1923,188
1923,2359
1923,2355
1923,2406
1923,120
1926,1120
1926,11328
1926,11981
1926,12685
1926,12010
1926,14137
1926,12064
1926,13576
1926,13790
1926,731
1926,1119
1925,8877
1925,1001
1925,4915
1925,2593
1925,2059
1925,7035
1925,1184
1925,474
1925,12694
1925,14419
1925,397
1924,17
1924,624
1924,14
1924,8185
1924,6199
1924,5448
1924,918
1924,8304
1924,878
1924,6387
1924,278
1880,1120
1880,11985
1880,11328
1880,12685
1880,1837
1880,14137
1880,11981
1880,13532
1880,804
1880,12010
1880,1108
1880,13556
1880,13564
1880,12011
1880,12784
1880,1119
1880,9052
1880,5944
1880,12785
1880,11980
1880,13580
1880,13579
1880,13574
1880,12532
1880,13790
1880,906
1880,13582
1880,13576
1880,12064
1880,11983
1880,13514
1880,1224
1880,12009
1880,13581
1880,4462
1880,5461
1880,13575
1880,13577
1880,12736
1880,14138
1880,731
1880,11986
1825,1120
1825,12685
1825,11985
1825,1837
1825,12010
1825,11328
1825,804
1825,731
1825,13514
1825,11981
1825,13576
1825,11980
1825,11983
1825,4683
1825,13532
1825,5944
1825,13582
1825,9052
1825,1119
1825,12784
1825,12785
1825,4462
1825,12532
1825,12128
1825,5461
1825,13574
1825,1224
1825,13579
1825,12011
1825,12064
1825,12009
1825,13788
1825,13581
1825,13790
1825,13556
1825,12783
1825,13789
1825,11986
1825,13575
1825,906
1825,13564
1825,13580
1825,13578
1825,13791
1747,1120
1747,11985
1747,11328
1747,12685
1747,12010
1747,1837
1747,731
1747,1224
1747,804
1747,5944
1747,12064
1747,12783
1747,11981
1747,13564
1747,12784
1747,11983
1747,13575
1747,12532
1747,13579
1747,13581
1747,1119
1747,13532
1747,13574
1747,4462
1747,13514
1747,13576
1747,13577
1747,9052
1747,4683
1747,13578
1747,11980
1747,12128
1747,5461
1747,12736
1747,12011
1747,13556
1747,11986
1747,13582
1747,6093
1747,906
1747,13580
1657,5248
1657,624
1657,6961
1657,2593
1657,8185
1657,1120
1657,12010
1657,1184
1657,1034
