tournament_id
2283
2590
2501
2498
2500
2499
2282
2380
2379
2450
2359
2347
2281
2339
2276
2277
2274
2275
2097
2095
2096
2005
2094
1999
2006
2004
1998
2002
1921
1923
1926
1925
1924
1880
1825
1747
1657
1658
1659
1660
1664
1494
1189
1190
1191
1188
1015
1111
1130
1117
1083
1084
1014
1113
1085
1086
800
911
984
1063
1013
998
988
983
996
1012
991
882
972
965
977
963
960
997
926
955
885
948
925
799
854
850
853
884
845
852
844
842
823
851
840
841
883
858
879
795
829
830
812
796
797
792
793
794
449
558
561
559
560
450
466
649
664
570
536
547
621
578
595
540
535
625
567
569
581
604
574
517
576
544
545
546
534
611
573
568
603
580
566
539
555
564
572
565
579
538
557
594
533
516
520
541
600
469
542
543
403
353
477
398
366
372
376
429
426
441
423
365
371
397
421
422
395
432
452
440
399
364
375
392
420
433
431
383
370
396
377
374
387
388
385
384
386
379
373
391
363
340
338
333
334
342
344
351
347
352
297
348
349
296
294
324
326
339
328
343
350
336
345
323
327
330
325
295
331
293
318
306
302
301
320
307
316
317
311
300
291
292
290
321
298
287
304
277
303
285
