tournament_id,match_id,game_id,map,pick,team1_id,team2_id,score1_ct,score1_t,score2_ct,score2_t,score1,score2,winner_id,loser_id,duration,game_url
2283,542203,233421,Sunset,878,12010,878,7,6,6,1,13,7,12010,878,41:56,https://www.vlr.gg/542203/bilibili-gaming-vs-rex-regum-qeon-valorant-champions-2025-elim-b/?game=233421
2283,542198,233408,Haven,,13581,2,6,7,5,3,13,8,13581,2,46:27,https://www.vlr.gg/542198/xi-lai-gaming-vs-sentinels-valorant-champions-2025-elim-a/?game=233408
2283,542203,233422,Lotus,12010,12010,878,3,5,7,6,8,13,878,12010,45:14,https://www.vlr.gg/542203/bilibili-gaming-vs-rex-regum-qeon-valorant-champions-2025-elim-b/?game=233422
2283,542203,233423,Abyss,,12010,878,4,0,5,8,4,13,878,12010,40:38,https://www.vlr.gg/542203/bilibili-gaming-vs-rex-regum-qeon-valorant-champions-2025-elim-b/?game=233423
2283,542214,233452,Abyss,11058,11058,11981,6,7,1,6,13,7,11058,11981,44:41,https://www.vlr.gg/542214/g2-esports-vs-dragon-ranger-gaming-valorant-champions-2025-elim-d/?game=233452
2283,542210,233439,Corrode,474,8185,474,6,7,2,6,13,8,8185,474,48:25,https://www.vlr.gg/542210/drx-vs-team-liquid-valorant-champions-2025-decider-c/?game=233439
2283,542199,233409,Bind,13581,14419,13581,4,8,4,8,14,12,14419,13581,57:22,https://www.vlr.gg/542199/giantx-vs-xi-lai-gaming-valorant-champions-2025-decider-a/?game=233409
2283,542210,233440,Abyss,8185,8185,474,6,7,1,6,13,7,8185,474,46:41,https://www.vlr.gg/542210/drx-vs-team-liquid-valorant-champions-2025-decider-c/?game=233440
2283,542199,233410,Ascent,14419,14419,13581,8,5,7,3,13,10,14419,13581,47:59,https://www.vlr.gg/542199/giantx-vs-xi-lai-gaming-valorant-champions-2025-decider-a/?game=233410
2283,542215,233454,Lotus,11058,14,11058,5,4,8,5,9,13,11058,14,49:12,https://www.vlr.gg/542215/t1-vs-g2-esports-valorant-champions-2025-decider-d/?game=233454
2283,542215,233455,Corrode,14,14,11058,4,4,5,8,8,13,11058,14,46:50,https://www.vlr.gg/542215/t1-vs-g2-esports-valorant-champions-2025-decider-d/?game=233455
2283,542204,233424,Corrode,878,7386,878,4,9,3,2,13,5,7386,878,44:14,https://www.vlr.gg/542204/mibr-vs-rex-regum-qeon-valorant-champions-2025-decider-b/?game=233424
2283,542204,233425,Abyss,7386,7386,878,8,5,1,4,13,5,7386,878,39:00,https://www.vlr.gg/542204/mibr-vs-rex-regum-qeon-valorant-champions-2025-decider-b/?game=233425
2283,542214,233451,Lotus,11981,11058,11981,7,6,6,1,13,7,11058,11981,45:05,https://www.vlr.gg/542214/g2-esports-vs-dragon-ranger-gaming-valorant-champions-2025-elim-d/?game=233451
2283,542265,233460,Lotus,624,624,11058,6,7,5,6,13,11,624,11058,51:39,https://www.vlr.gg/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf/?game=233460
2283,542265,233461,Corrode,11058,624,11058,6,6,6,6,13,15,11058,624,1:03:55,https://www.vlr.gg/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf/?game=233461
2283,542265,233462,Ascent,,624,11058,4,9,3,8,13,11,624,11058,57:03,https://www.vlr.gg/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf/?game=233462
2283,542267,233467,Lotus,1034,1034,14419,4.0,9.0,3.0,3.0,13,6,1034,14419,43:12,https://www.vlr.gg/542267/nrg-vs-giantx-valorant-champions-2025-ubqf/?game=233467
2283,542267,233466,Haven,14419,1034,14419,2.0,11.0,1.0,0.0,13,1,1034,14419,34:06,https://www.vlr.gg/542267/nrg-vs-giantx-valorant-champions-2025-ubqf/?game=233466
2283,542264,233458,Ascent,2593,2593,8185,2.0,6.0,6.0,7.0,8,13,8185,2593,49:01,https://www.vlr.gg/542264/fnatic-vs-drx-valorant-champions-2025-ubqf/?game=233458
2283,542264,233457,Haven,8185,2593,8185,2.0,11.0,1.0,10.0,13,11,2593,8185,1:00:52,https://www.vlr.gg/542264/fnatic-vs-drx-valorant-champions-2025-ubqf/?game=233457
2283,542273,233483,Lotus,11058,8185,11058,4.0,3.0,5.0,8.0,7,13,11058,8185,44:40,https://www.vlr.gg/542273/drx-vs-g2-esports-valorant-champions-2025-lr1/?game=233483
2283,542264,233459,Lotus,,2593,8185,5.0,8.0,4.0,1.0,13,5,2593,8185,44:32,https://www.vlr.gg/542264/fnatic-vs-drx-valorant-champions-2025-ubqf/?game=233459
2283,542266,233463,Corrode,7386,1001,7386,4.0,8.0,4.0,8.0,12,14,7386,1001,1:01:32,https://www.vlr.gg/542266/team-heretics-vs-mibr-valorant-champions-2025-ubqf/?game=233463
2283,542266,233464,Sunset,1001,1001,7386,3.0,3.0,9.0,4.0,6,13,7386,1001,46:15,https://www.vlr.gg/542266/team-heretics-vs-mibr-valorant-champions-2025-ubqf/?game=233464
2283,542273,233484,Abyss,8185,8185,11058,5.0,8.0,4.0,6.0,13,10,8185,11058,56:55,https://www.vlr.gg/542273/drx-vs-g2-esports-valorant-champions-2025-lr1/?game=233484
2283,542273,233485,Bind,,8185,11058,10.0,3.0,5.0,2.0,13,7,8185,11058,45:20,https://www.vlr.gg/542273/drx-vs-g2-esports-valorant-champions-2025-lr1/?game=233485
2283,542274,233487,Lotus,1001,1001,14419,3.0,0.0,4.0,9.0,3,13,14419,1001,35:56,https://www.vlr.gg/542274/team-heretics-vs-giantx-valorant-champions-2025-lr1/?game=233487
2283,542274,233486,Ascent,14419,1001,14419,8.0,5.0,0.0,4.0,13,4,1001,14419,37:10,https://www.vlr.gg/542274/team-heretics-vs-giantx-valorant-champions-2025-lr1/?game=233486
2283,542274,233488,Bind,,1001,14419,8.0,5.0,7.0,2.0,13,9,1001,14419,45:33,https://www.vlr.gg/542274/team-heretics-vs-giantx-valorant-champions-2025-lr1/?game=233488
2283,542269,233472,Abyss,7386,7386,1034,6.0,6.0,6.0,6.0,14,16,1034,7386,1:10:57,https://www.vlr.gg/542269/mibr-vs-nrg-valorant-champions-2025-ubsf/?game=233472
