prize_pool,name,region,url,tournament_id
650000,Valorant Champions Tour Stage 2: Masters Copenhagen,mod-dk,https://www.vlr.gg/event/1014/valorant-champions-tour-stage-2-masters-copenhagen,1014
20788,Oceania Tour: Championship,mod-au,https://www.vlr.gg/event/1113/oceania-tour-championship,1113
0,Champions Tour LATAM/BR Stage 2: Last Chance Qualifier,mod-ar,https://www.vlr.gg/event/1085/champions-tour-latam-br-stage-2-last-chance-qualifier,1085
50000,Champions Tour Latin America Stage 2: Playoffs,mod-ar,https://www.vlr.gg/event/1086/champions-tour-latin-america-stage-2-playoffs,1086
200000,Champions Tour North America Stage 2: Challengers,mod-us,https://www.vlr.gg/event/800/champions-tour-north-america-stage-2-challengers,800
79222,Champions Tour Brazil Stage 2: Challengers,mod-br,https://www.vlr.gg/event/911/champions-tour-brazil-stage-2-challengers,911
216946,Champions Tour EMEA Stage 2: Challengers,mod-eu,https://www.vlr.gg/event/984/champions-tour-emea-stage-2-challengers,984
150000,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,mod-un,https://www.vlr.gg/event/1063/champions-tour-asia-pacific-stage-2-challengers-playoffs,1063
15465,Champions Tour Japan Stage 2: Challengers Playoffs,mod-jp,https://www.vlr.gg/event/1013/champions-tour-japan-stage-2-challengers-playoffs,1013
82940,Champions Tour Korea Stage 2: Challengers,mod-kr,https://www.vlr.gg/event/998/champions-tour-korea-stage-2-challengers,998
15000,Champions Tour Latin America South Stage 2: Challengers,mod-un,https://www.vlr.gg/event/988/champions-tour-latin-america-south-stage-2-challengers,988
15000,Champions Tour Latin America North Stage 2: Challengers,mod-un,https://www.vlr.gg/event/983/champions-tour-latin-america-north-stage-2-challengers,983
28500,Skyesports Champions Series,mod-in,https://www.vlr.gg/event/996/skyesports-champions-series,996
0,Champions Tour Japan Stage 2: Challengers Week 2,mod-jp,https://www.vlr.gg/event/1012/champions-tour-japan-stage-2-challengers-week-2,1012
40760,Champions Tour Vietnam Stage 2: Challengers,mod-vn,https://www.vlr.gg/event/991/champions-tour-vietnam-stage-2-challengers,991
30000,Champions Tour Philippines Stage 2: Challengers,mod-ph,https://www.vlr.gg/event/882/champions-tour-philippines-stage-2-challengers,882
24774,Champions Tour Thailand Stage 2: Challengers,mod-th,https://www.vlr.gg/event/972/champions-tour-thailand-stage-2-challengers,972
25000,Champions Tour Indonesia Stage 2: Challengers,mod-id,https://www.vlr.gg/event/965/champions-tour-indonesia-stage-2-challengers,965
25000,Champions Tour Hong Kong & Taiwan Stage 2: Challengers,mod-tw,https://www.vlr.gg/event/977/champions-tour-hong-kong-taiwan-stage-2-challengers,977
23823,Champions Tour Malaysia & Singapore Stage 2: Challengers,mod-my,https://www.vlr.gg/event/963/champions-tour-malaysia-singapore-stage-2-challengers,963
18574,Oceania Tour: Stage 2,mod-au,https://www.vlr.gg/event/960/oceania-tour-stage-2,960
0,Champions Tour Japan Stage 2: Challengers Week 1,mod-jp,https://www.vlr.gg/event/997/champions-tour-japan-stage-2-challengers-week-1,997
650000,Valorant Champions Tour Stage 1: Masters Reykjavík,mod-is,https://www.vlr.gg/event/926/valorant-champions-tour-stage-1-masters-reykjav-k,926
437,Road to VCT 2022: Stage 2,mod-vn,https://www.vlr.gg/event/955/road-to-vct-2022-stage-2,955
0,Champions Tour Stage 1: EMEA Promotion,mod-eu,https://www.vlr.gg/event/885/champions-tour-stage-1-emea-promotion,885
0,Champions Tour LATAM/BR Stage 1: Last Chance Qualifier,mod-mx,https://www.vlr.gg/event/948/champions-tour-latam-br-stage-1-last-chance-qualifier,948
50000,Champions Tour Latin America Stage 1: Playoffs,mod-mx,https://www.vlr.gg/event/925/champions-tour-latin-america-stage-1-playoffs,925
200000,Champions Tour North America Stage 1: Challengers,mod-us,https://www.vlr.gg/event/799/champions-tour-north-america-stage-1-challengers,799
229200,Champions Tour Stage 1: EMEA Challengers,mod-eu,https://www.vlr.gg/event/854/champions-tour-stage-1-emea-challengers,854
88389,Champions Tour Korea Stage 1: Challengers,mod-kr,https://www.vlr.gg/event/850/champions-tour-korea-stage-1-challengers,850
17575,Champions Tour Japan Stage 1: Challengers Playoffs,mod-jp,https://www.vlr.gg/event/853/champions-tour-japan-stage-1-challengers-playoffs,853
150000,Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,mod-un,https://www.vlr.gg/event/884/champions-tour-asia-pacific-stage-1-challengers-playoffs,884
15000,Champions Tour Latin America South Stage 1: Challengers,mod-un,https://www.vlr.gg/event/845/champions-tour-latin-america-south-stage-1-challengers,845
0,Champions Tour Japan Stage 1: Challengers Week 2,mod-jp,https://www.vlr.gg/event/852/champions-tour-japan-stage-1-challengers-week-2,852
15000,Champions Tour Latin America North Stage 1: Challengers,mod-un,https://www.vlr.gg/event/844/champions-tour-latin-america-north-stage-1-challengers,844
24894,Champions Tour Thailand Stage 1: Challengers,mod-th,https://www.vlr.gg/event/842/champions-tour-thailand-stage-1-challengers,842
25000,Champions Tour Indonesia Stage 1: Challengers,mod-id,https://www.vlr.gg/event/823/champions-tour-indonesia-stage-1-challengers,823
0,Champions Tour Japan Stage 1: Challengers Week 1,mod-jp,https://www.vlr.gg/event/851/champions-tour-japan-stage-1-challengers-week-1,851
30000,Valorant Conquerors Championship,mod-un,https://www.vlr.gg/event/840/valorant-conquerors-championship,840
30000,Champions Tour Philippines Stage 1: Challengers,mod-ph,https://www.vlr.gg/event/841/champions-tour-philippines-stage-1-challengers,841
28236,Champions Tour Vietnam Stage 1: Challengers,mod-vn,https://www.vlr.gg/event/883/champions-tour-vietnam-stage-1-challengers,883
23823,Champions Tour Malaysia & Singapore Stage 1: Challengers,mod-my,https://www.vlr.gg/event/858/champions-tour-malaysia-singapore-stage-1-challengers,858
25000,Champions Tour Hong Kong & Taiwan Stage 1: Challengers,mod-tw,https://www.vlr.gg/event/879/champions-tour-hong-kong-taiwan-stage-1-challengers,879
