tournament_id,match_id,team1_name,team2_name,score1,score2,winner_name,loser_name,sub_stage,stage,match_url
911,78163,Tropinha do TIKTOK 2.0,AJF e-Sports,2.0,0.0,Tropinha do TIKTOK 2.0,AJF e-Sports,Round of 32,Open Qualifier #2,https://www.vlr.gg/78163/tropinha-do-tiktok-2-0-vs-ajf-e-sports-champions-tour-brazil-stage-2-challengers-1-open-qualifie
911,78164,n0gravity,ODDIK,0.0,2.0,ODDIK,n0gravity,Round of 32,Open Qualifier #2,https://www.vlr.gg/78164/n0gravity-vs-oddik-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro32
911,78165,puGG,Maniacos da Mira,2.0,0.0,puGG,Maniacos da Mira,Round of 32,Open Qualifier #2,https://www.vlr.gg/78165/negados-do-cen-rio-vs-maniacos-da-mira-champions-tour-brazil-stage-2-challengers-1-open-qualifie
911,78166,Aquele lá,OIP,0.0,2.0,OIP,Aquele lá,Round of 32,Open Qualifier #2,https://www.vlr.gg/78166/aquele-l-vs-oip-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro32
911,78167,Rise Gaming,OS GURI DA GERAL DO GREMIO,2.0,0.0,Rise Gaming,OS GURI DA GERAL DO GREMIO,Round of 32,Open Qualifier #2,https://www.vlr.gg/78167/rise-gaming-vs-os-guri-da-geral-do-gremio-champions-tour-brazil-stage-2-challengers-1-open-quali
911,78168,RD E-SPORTS,Astro Esports,2.0,0.0,RD E-SPORTS,Astro Esports,Round of 32,Open Qualifier #2,https://www.vlr.gg/78168/rd-e-sports-vs-astro-esports-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro32
911,78169,leptospirose,NDT,2.0,0.0,leptospirose,NDT,Round of 32,Open Qualifier #2,https://www.vlr.gg/78169/leptospirose-vs-ndt-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro32
911,78170,4 ruim e 1 ruim,Skyline Rebaixado,2.0,1.0,4 ruim e 1 ruim,Skyline Rebaixado,Round of 32,Open Qualifier #2,https://www.vlr.gg/78170/4-ruim-e-1-ruim-vs-skyline-rebaixado-champions-tour-brazil-stage-2-challengers-1-open-qualifier
911,78171,doidera,BLC,2.0,0.0,doidera,BLC,Round of 32,Open Qualifier #2,https://www.vlr.gg/78171/doidera-vs-blc-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro32
911,78172,Odin&Amigos,EXODIA,2.0,1.0,Odin&Amigos,EXODIA,Round of 32,Open Qualifier #2,https://www.vlr.gg/78172/odin-amigos-vs-exodia-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro32
911,78173,Os Selvagens,ROLO COMPRESSOR,2.0,0.0,Os Selvagens,ROLO COMPRESSOR,Round of 16,Open Qualifier #2,https://www.vlr.gg/78173/os-selvagens-vs-rolo-compressor-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro
911,78174,tropa da realeza,SG e-Sports,0.0,2.0,SG e-Sports,tropa da realeza,Round of 16,Open Qualifier #2,https://www.vlr.gg/78174/tropa-da-realeza-vs-sg-esports-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro1
911,78175,REiGN,3P eSports,2.0,1.0,REiGN,3P eSports,Round of 16,Open Qualifier #2,https://www.vlr.gg/78175/reign-vs-3p-esports-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro16
911,78176,Tropinha do TIKTOK 2.0,ODDIK,2.0,0.0,Tropinha do TIKTOK 2.0,ODDIK,Round of 16,Open Qualifier #2,https://www.vlr.gg/78176/tropinha-do-tiktok-2-0-vs-oddik-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro
911,78177,puGG,OIP,1.0,2.0,OIP,puGG,Round of 16,Open Qualifier #2,https://www.vlr.gg/78177/negados-do-cen-rio-vs-oip-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro16
911,78178,Rise Gaming,RD E-SPORTS,0.0,2.0,RD E-SPORTS,Rise Gaming,Round of 16,Open Qualifier #2,https://www.vlr.gg/78178/rise-gaming-vs-rd-e-sports-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro16
911,78179,leptospirose,4 ruim e 1 ruim,0.0,2.0,4 ruim e 1 ruim,leptospirose,Round of 16,Open Qualifier #2,https://www.vlr.gg/78179/leptospirose-vs-4-ruim-e-1-ruim-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro
911,78180,doidera,Odin&Amigos,2.0,1.0,doidera,Odin&Amigos,Round of 16,Open Qualifier #2,https://www.vlr.gg/78180/doidera-vs-odin-amigos-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-ro16
